ticker,symbol,base_symbol,active
AAVEDOWNUSDT,AAVEDOWN,USDT,1
SKLUSDT,SKL,USDT,1
SUSDUSDT,SUSD,USDT,1
SUSHIUPUSDT,SUSHIUP,USDT,1
SUSHIDOWNUSDT,SUSHIDOWN,USDT,1
XLMUPUSDT,XLMUP,USDT,1
XLMDOWNUSDT,XLMDOWN,USDT,1
GRTUSDT,GRT,USDT,1
JUVUSDT,JUV,USDT,1
PSGUSDT,PSG,USDT,1
1INCHUSDT,1INCH,USDT,1
REEFUSDT,REEF,USDT,1
OGUSDT,OG,USDT,1
ATMUSDT,ATM,USDT,1
ASRUSDT,ASR,USDT,1
CELOUSDT,CELO,USDT,1
RIFUSDT,RIF,USDT,1
BTCSTUSDT,BTCST,USDT,1
TRUUSDT,TRU,USDT,1
CKBUSDT,CKB,USDT,1
TWTUSDT,TWT,USDT,1
FIROUSDT,FIRO,USDT,1
LITUSDT,LIT,USDT,1
SFPUSDT,SFP,USDT,1
DODOUSDT,DODO,USDT,1
CAKEUSDT,CAKE,USDT,1
ACMUSDT,ACM,USDT,1
BADGERUSDT,BADGER,USDT,1
FISUSDT,FIS,USDT,1
OMUSDT,OM,USDT,1
PONDUSDT,POND,USDT,1
DEGOUSDT,DEGO,USDT,1
ALICEUSDT,ALICE,USDT,1
LINAUSDT,LINA,USDT,1
PERPUSDT,PERP,USDT,1
RAMPUSDT,RAMP,USDT,1
SUPERUSDT,SUPER,USDT,1
CFXUSDT,CFX,USDT,1
EPSUSDT,EPS,USDT,1
AUTOUSDT,AUTO,USDT,1
TKOUSDT,TKO,USDT,1
PUNDIXUSDT,PUNDIX,USDT,1
TLMUSDT,TLM,USDT,1
1INCHUPUSDT,1INCHUP,USDT,1
1INCHDOWNUSDT,1INCHDOWN,USDT,1
BTGUSDT,BTG,USDT,1
MIRUSDT,MIR,USDT,1
BARUSDT,BAR,USDT,1
FORTHUSDT,FORTH,USDT,1
BAKEUSDT,BAKE,USDT,1
BURGERUSDT,BURGER,USDT,1
SLPUSDT,SLP,USDT,1
SHIBUSDT,SHIB,USDT,1
ICPUSDT,ICP,USDT,1
ARUSDT,AR,USDT,1
POLSUSDT,POLS,USDT,1
MDXUSDT,MDX,USDT,1
MASKUSDT,MASK,USDT,1
LPTUSDT,LPT,USDT,1
NUUSDT,NU,USDT,1
XVGUSDT,XVG,USDT,1
ATAUSDT,ATA,USDT,1
GTCUSDT,GTC,USDT,1
TORNUSDT,TORN,USDT,1
KEEPUSDT,KEEP,USDT,1
ERNUSDT,ERN,USDT,1
KLAYUSDT,KLAY,USDT,1
PHAUSDT,PHA,USDT,1
BONDUSDT,BOND,USDT,1
MLNUSDT,MLN,USDT,1
DEXEUSDT,DEXE,USDT,1
C98USDT,C98,USDT,1
CLVUSDT,CLV,USDT,1
QNTUSDT,QNT,USDT,1
FLOWUSDT,FLOW,USDT,1
TVKUSDT,TVK,USDT,1
MINAUSDT,MINA,USDT,1
RAYUSDT,RAY,USDT,1
FARMUSDT,FARM,USDT,1
ALPACAUSDT,ALPACA,USDT,1
QUICKUSDT,QUICK,USDT,1
MBOXUSDT,MBOX,USDT,1
FORUSDT,FOR,USDT,1
REQUSDT,REQ,USDT,1
GHSTUSDT,GHST,USDT,1
WAXPUSDT,WAXP,USDT,1
TRIBEUSDT,TRIBE,USDT,1
GNOUSDT,GNO,USDT,1
XECUSDT,XEC,USDT,1
ELFUSDT,ELF,USDT,1
DYDXUSDT,DYDX,USDT,1
POLYUSDT,POLY,USDT,1
IDEXUSDT,IDEX,USDT,1
VIDTUSDT,VIDT,USDT,1
USDPUSDT,USDP,USDT,1
GALAUSDT,GALA,USDT,1
ILVUSDT,ILV,USDT,1
YGGUSDT,YGG,USDT,1
SYSUSDT,SYS,USDT,1
DFUSDT,DF,USDT,1
