ticker,symbol,base_symbol,active
FIROBTC,FIRO,BTC,1
LITBTC,LIT,BTC,1
SFPBTC,SFP,BTC,1
FXSBTC,FXS,BTC,1
DODOBTC,DODO,BTC,1
FRONTBTC,FRONT,BTC,1
EASYBTC,EASY,BTC,0
CAKEBTC,CAKE,BTC,1
ACMBTC,ACM,BTC,0
AUCTIONBTC,AUCTION,BTC,1
PHABTC,PHA,BTC,1
TVKBTC,TVK,BTC,0
BADGERBTC,BADGER,BTC,1
FISBTC,FIS,BTC,1
OMBTC,OM,BTC,1
PONDBTC,POND,BTC,1
DEGOBTC,DEGO,BTC,1
ALICEBTC,ALICE,BTC,1
LINABTC,LINA,BTC,1
PERPBTC,PERP,BTC,1
RAMPBTC,RAMP,BTC,0
SUPERBTC,SUPER,BTC,1
CFXBTC,CFX,BTC,1
EPSBTC,EPS,BTC,0
AUTOBTC,AUTO,BTC,0
TKOBTC,TKO,BTC,1
TLMBTC,TLM,BTC,1
MIRBTC,MIR,BTC,0
BARBTC,BAR,BTC,0
FORTHBTC,FORTH,BTC,1
EZBTC,EZ,BTC,0
ICPBTC,ICP,BTC,1
ARBTC,AR,BTC,1
POLSBTC,POLS,BTC,0
MDXBTC,MDX,BTC,1
LPTBTC,LPT,BTC,1
AGIXBTC,AGIX,BTC,1
NUBTC,NU,BTC,0
ATABTC,ATA,BTC,1
GTCBTC,GTC,BTC,1
TORNBTC,TORN,BTC,0
BAKEBTC,BAKE,BTC,1
KEEPBTC,KEEP,BTC,0
KLAYBTC,KLAY,BTC,1
BONDBTC,BOND,BTC,1
MLNBTC,MLN,BTC,1
QUICKBTC,QUICK,BTC,1
C98BTC,C98,BTC,1
CLVBTC,CLV,BTC,1
QNTBTC,QNT,BTC,1
FLOWBTC,FLOW,BTC,1
MINABTC,MINA,BTC,1
FARMBTC,FARM,BTC,1
ALPACABTC,ALPACA,BTC,1
MBOXBTC,MBOX,BTC,1
VGXBTC,VGX,BTC,0
WAXPBTC,WAXP,BTC,1
TRIBEBTC,TRIBE,BTC,0
GNOBTC,GNO,BTC,0
PROMBTC,PROM,BTC,1
DYDXBTC,DYDX,BTC,1
GALABTC,GALA,BTC,1
ILVBTC,ILV,BTC,1
YGGBTC,YGG,BTC,1
FIDABTC,FIDA,BTC,1
AGLDBTC,AGLD,BTC,1
RADBTC,RAD,BTC,1
BETABTC,BETA,BTC,1
RAREBTC,RARE,BTC,1
SSVBTC,SSV,BTC,1
LAZIOBTC,LAZIO,BTC,1
CHESSBTC,CHESS,BTC,1
DARBTC,DAR,BTC,1
BNXBTC,BNX,BTC,1
RGTBTC,RGT,BTC,0
MOVRBTC,MOVR,BTC,1
CITYBTC,CITY,BTC,0
ENSBTC,ENS,BTC,1
QIBTC,QI,BTC,1
PORTOBTC,PORTO,BTC,1
JASMYBTC,JASMY,BTC,0
AMPBTC,AMP,BTC,0
PLABTC,PLA,BTC,0
PYRBTC,PYR,BTC,1
RNDRBTC,RNDR,BTC,1
ALCXBTC,ALCX,BTC,1
SANTOSBTC,SANTOS,BTC,1
MCBTC,MC,BTC,0
